곡명,수록앨범,청량,신남,트렌디,다크,아련,비율합
Shining Diamond,17 CARAT,33,44,7,13,0.8,97.8
Ah Yeah,17 CARAT,3,34,15,45,0.8,97.8
Jam Jam,17 CARAT,11,49,25,12,0,97
20,17 CARAT,71,11,4,0,13,99
표정관리,BOYS BE,21,31,40,13,2,107
어른이 되면,BOYS BE,34,3,6,0,55,98
OMG,BOYS BE,5,49,22,26,0,102
ROCK,BOYS BE,6,26,23,42,1,98
엄지척,LOVE&LETTER,5,50,12,31,0,98
이놈의 인기,LOVE&LETTER,28,27,32,1,12,100
유행가,LOVE&LETTER,8,3,10,8,70,99
Say Yes,LOVE&LETTER,5,2,6,2,86,101
떠내려가,LOVE&LETTER,24,6,15,1,53,99
아낀다 (Vocal Team Ver.),LOVE&LETTER,15,2,5,1,75,98
만.세 (Hiphop Team Ver.),LOVE&LETTER,24,34,36,2,1,97
Shining Diamond (Performance Team Ver.),LOVE&LETTER,24,38,32,4,0.5,98.5
사랑쪽지,LOVE&LETTER,58,16,5,0,20,99
NO F.U.N,LOVE&LETTER Repackage,2,9,23,62,2,98
힐링,LOVE&LETTER Repackage,62,29,2,0,7,100
SIMPLE,LOVE&LETTER Repackage,36,12,0.8,51,0,99.8
끝이 안보여,LOVE&LETTER Repackage,6,0,13,20,59,98
BEAUTIFUL,GOING SEVENTEEN,63,28,5,0,2,98
HIGHLIGHT,GOING SEVENTEEN,14,18,45,16,6,99
기대,GOING SEVENTEEN,17,5,27,3,46,98
빠른 걸음,GOING SEVENTEEN,3,4,27,47,16,97
몰래 듣지 마요,GOING SEVENTEEN,5,0,8,8,79,100
글쎄,GOING SEVENTEEN,5,0,9,16,68,98
웃음꽃,GOING SEVENTEEN,8,0,2,0.8,89,99.8
입버릇,Al1,8,0,13,2,75,98
IF I,Al1,2,5,45,26,25,103
Swimming Fool,Al1,27,29,43,0.5,0.5,100
MY I,Al1,8,6,45,19,21,99
Crazy in Love,Al1,16,25,37,18,4,100
WHO,Al1,5,5,16,76,2,104
Check-In,Al1,12,31,52,3,1,99
CHANGE UP,"TEEN, AGE",12,22,66,0,0,100
모자를 눌러 쓰고,"TEEN, AGE",21,1,18,2,59,101
날 쏘고 가라,"TEEN, AGE",3,33,25,40,0,101
13월의 춤,"TEEN, AGE",9,13,44,18,16,100
TRAUMA,"TEEN, AGE",1,1,33,42,22,99
바람개비,"TEEN, AGE",31,0,8,1,60,100
Flower,"TEEN, AGE",5,5,24,41,25,100
ROCKET,"TEEN, AGE",24,20,51,1,3,99
Hello,"TEEN, AGE",59,22,10,0,8,99
캠프파이어,"TEEN, AGE",43,8,8,0,41,100
Thinkin' about you,Special Album DIRECTOR'S CUT,56,28,10,0,4,98
지금 널 찾아가고 있어,Special Album DIRECTOR'S CUT,31,49,1,9,10,100
Falling for you,Special Album DIRECTOR'S CUT,37,8,29,0,25,99
Holiday,YOU MAKE MY DAY,40,36,21,0,3,100
나에게로 와,YOU MAKE MY DAY,32,10,28,0,30,100
What's Good,YOU MAKE MY DAY,16,37,44,2,1,100
MOONWALKER,YOU MAKE MY DAY,12,21,53,9,5,100
우리의 새벽은 낮보다 뜨겁다,YOU MAKE MY DAY,32,9,22,0,36,99
